subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas
Hortikultura;Kentang;Kalimantan Selatan;2026;0;0;1;0,436074795;0;46,97108459;46,97108459;0;0;0;46,97108459;0;0;0,000179914;1290;21
Hortikultura;Ketimun;Kalimantan Selatan;2026;57,34333333;731,5144444;3;0,290538337;5413,738225;3555,506836;3555,506836;9,6;24,52444444;3,551111111;-676,0184326;3,551111111;-7141,858673;0,000169972;1295;22
Hortikultura;Kubis;Kalimantan Selatan;2026;6,666666667;0,222222222;2;0,413477616;1,891636667;351,3484802;351,3484802;0,366666667;2,444444444;1,777777778;-2248,003174;1,777777778;-613191,7747;8,44682E-05;1330;23
Hortikultura;Mangga;Kalimantan Selatan;2026;5,485726477;933,9855556;1;0,300329066;5609,988221;4342,277344;4342,277344;0,333333333;2,222222222;0,888888889;-3075,713135;0,888888889;-922813,9404;4,04148E-05;1332;24
Hortikultura;Manggis;Kalimantan Selatan;2026;5,555089026;221,8777778;1;0,280737839;1370,759311;434,4156189;434,4156189;126360,007;7082,188889;174,0433333;141769,4844;174,0433333;12,1949007;0,010351589;414;1
Hortikultura;Nanas;Kalimantan Selatan;2026;87,81677684;175,1163867;4;0,303966619;14519,61427;15393,95898;15393,95898;52171,29;2745,255556;187,6744444;54789,76563;187,6744444;5,018997278;0,005979431;550;2
Hortikultura;Nangka;Kalimantan Selatan;2026;7,908010232;3489,403333;1;0,306945405;24893,40132;29027,22852;29027,22852;5273,847;232,1644444;233,6366667;8198,579102;233,6366667;55,45728008;0,005727405;559;3
Hortikultura;Pepaya;Kalimantan Selatan;2026;71,57249963;76,29044444;1;0,3791048;5844,947249;4514,223633;4514,223633;407,0666667;21,66666667;230,9766667;4431,944824;230,9766667;988,7515946;0,005640927;562;4
Hortikultura;Rambutan;Kalimantan Selatan;2026;5,230473601;2611,347778;1;0,326269996;14414,61864;14603,72559;14603,72559;26618,76767;2277,955556;122,67;32599,60938;122,67;22,46851463;0,003729517;667;5
Hortikultura;Salak;Kalimantan Selatan;2026;43,76832846;14,0135;3;0,416541486;792,8683178;566,2905273;566,2905273;26223,193;2560,771111;104,94;32550,05078;104,94;24,12695426;0,003391143;699;6
Hortikultura;Semangka;Kalimantan Selatan;2026;154,8755556;997,49;1;0,288071912;16168,44009;19705,14258;19705,14258;10658,28633;769,2655556;133,1011111;8472,34668;133,1011111;-20,50929751;0,003347675;703;7
Hortikultura;Tomat;Kalimantan Selatan;2026;62,77777778;790,0166667;2;0,397771496;5076,760863;5035,881348;5035,881348;18805,294;1655,717778;114,8511111;24239,91797;114,8511111;28,89943634;0,0032579;711;8
