subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;absolute
Hortikultura;Bawang Merah;Sulawesi Barat;2026;18,93444444;506,5666667;4;0,351342382;1132,115105;559,3101196;559,3101196;13078,40933;1385,858889;9,746747744;14703,25488;9,746747744;12,42387746;0,001150526;991;20;559,3101196
Hortikultura;Bawang Merah;Sulawesi Selatan;2026;124,4222222;17193,17;3;0,351342382;214987,597;218977,1719;218977,1719;13518,55733;111,9431667;228,3665691;18279,15234;228,3665691;35,21525924;0,005703107;560;5;218977,1719
Hortikultura;Bawang Merah;Sulawesi Tengah;2026;56,98;576,6422222;4;0,351342382;4164,19589;2730,801758;2730,801758;4545,437667;86,17866667;56,2196461;4069,803711;56,2196461;-10,46398588;0,00144147;935;24;2730,801758
Hortikultura;Bawang Merah;Sulawesi Tenggara;2026;30,03444444;204,9522222;4;0,351342382;708,5941322;379,1468811;379,1468811;3979,496;251,4244444;158,6788889;5086,645508;158,6788889;27,82134994;0,003899807;656;9;379,1468811
Hortikultura;Bawang Merah;Sulawesi Utara;2026;51,6;619,9666667;4;0,351342382;3811,969347;2811,586426;2811,586426;5692,321667;863,0433333;68,08777778;6337,539551;68,08777778;11,33488095;0,001763147;897;28;2811,586426
Hortikultura;Bawang Merah;Sumatera Barat;2026;152,8944444;15012,49333;3;0,351342382;215828,775;228265,3594;228265,3594;5200,987333;343,8955556;146,3088889;4610,080078;146,3088889;-11,36144384;0,003602986;675;13;228265,3594
Hortikultura;Bawang Merah;Sumatera Selatan;2026;72,99222222;145,6911111;4;0,351342382;1151,076122;306,7961731;306,7961731;4218,359;1188,822222;35,79777778;4512,350098;35,79777778;6,969323798;0,001010432;1018;32;306,7961731
Hortikultura;Bawang Merah;Sumatera Utara;2026;151,64;4097,752222;3;0,351342382;62182,92929;66230,53906;66230,53906;173,65;34,05555556;46,24;1103,999146;46,24;535,7610973;0,001153644;988;17;66230,53906
Hortikultura;Durian;Aceh;2026;16,31710304;3958,363333;2;0,297046471;70127,77395;65525,76563;65525,76563;47356,74933;3648,94;236,2644444;126403,7266;236,2644444;166,918081;0,008753379;447;5;65525,76563
Hortikultura;Durian;Bali;2026;17,16637062;2129,69;2;0,297046471;39933,69939;35802,70313;35802,70313;499,2013333;497,3344444;122,1366667;5544,39209;122,1366667;1010,6525;0,003015967;738;24;35802,70313
Hortikultura;Durian;Banten;2026;19,51316386;3961,826667;2;0,297046471;73550,9831;68595,20313;68595,20313;119,28;5,177777778;144,7544444;976,2189941;144,7544444;718,4263868;0,003539579;681;9;68595,20313
Hortikultura;Durian;Bengkulu;2026;13,14532703;1542,886667;2;0,297046471;21606,74671;24326,80859;24326,80859;76,80333333;18,95111111;34,30111111;253,7373505;34,30111111;230,372836;0,000859991;1039;28;24326,80859
Hortikultura;Durian;Daerah Istimewa Yogyakarta;2026;5,780880232;1987,243333;1;0,297046471;11944,85341;9671,855469;9671,855469;1543,284333;152,02;102,0555556;435,5550232;102,0555556;-71,77739618;0,00250192;798;13;9671,855469
Hortikultura;Durian;Daerah Khusus Ibukota Jakarta;2026;12,20931779;21,12666667;2;0,297046471;279,7448584;578,0314331;578,0314331;22,35666667;9,871111111;18,02333333;564,8580322;18,02333333;2426,575364;0,000485876;1131;32;578,0314331
Hortikultura;Durian;Gorontalo;2026;18,90082396;308,98;2;0,297046471;5520,632422;4158,109375;4158,109375;13414,64067;1734,773333;6,472595709;12008,3584;6,472595709;-10,48318999;0,001074797;1006;17;4158,109375
Hortikultura;Durian;Jambi;2026;16,26522328;2026,016667;2;0,297046471;31492,99994;29802,96875;29802,96875;190735,36;15763,35;12,36961078;181607,2031;12,36961078;-4,785770648;0,013338741;345;2;29802,96875
Hortikultura;Durian;Jawa Barat;2026;11,14083313;12132,06;4;0,297046471;131274,3307;140432,5313;140432,5313;17941,71;1323,083333;12,05600769;15070,46191;12,05600769;-16,00320196;0,001327032;951;21;140432,5313
Hortikultura;Durian;Jawa Tengah;2026;12,36961078;15763,35;3;0,297046471;190699,2672;181607,2031;181607,2031;620,6323333;8,785261111;69,46601315;423,9888916;69,46601315;-31,6843695;0,001709403;903;6;181607,2031
Hortikultura;Durian;Jawa Timur;2026;24,38255575;21350,49667;3;0,297046471;528366,1201;514282,1563;514282,1563;40,115;3,178647778;10,34112492;794,8287964;10,34112492;1881,375536;0,000332013;1206;25;514282,1563
Hortikultura;Durian;Kalimantan Barat;2026;13,39896216;3300,81;2;0,297046471;45652,78421;39728,03125;39728,03125;3593;251,8888889;138,7344444;1819,61731;138,7344444;-49,35660146;0,003401834;698;10;39728,03125
Hortikultura;Durian;Kalimantan Selatan;2026;13,4831641;2594,12;2;0,297046471;32365,57308;34216,13281;34216,13281;0;0;0;46,97108459;0;0;0,000179914;1290;21;34216,13281
Hortikultura;Durian;Kalimantan Tengah;2026;7,75651845;1253;1;0,297046471;10432,72876;8676,236328;8676,236328;13629,221;1224,124444;105,6977778;12384,96875;105,6977778;-9,129298366;0,002788988;756;14;8676,236328
Hortikultura;Durian;Kalimantan Timur;2026;9,54188135;1499,493333;1;0,297046471;15672,72344;14661,35645;14661,35645;2438,696667;639,7966667;38,15555556;2156,816162;38,15555556;-11,55865378;0,000990083;1022;33;14661,35645
Hortikultura;Durian;Kalimantan Utara;2026;11,96131828;536,0833333;2;0,297046471;6749,853819;5792,318359;5792,318359;3,92;1,8;83,72222222;23,11128235;83,72222222;489,5735293;0,002053258;852;18;5792,318359
Hortikultura;Durian;Kepulauan Bangka Belitung;2026;8,366436755;708,0366667;1;0,297046471;6605,144704;5035,03418;5035,03418;452645,4963;35685,28667;12,70000902;470556,8125;12,70000902;3,957029577;0,032534542;138;3;5035,03418
Hortikultura;Durian;Kepulauan Riau;2026;16,96960806;427,4166667;2;0,297046471;6240,22967;5860,513672;5860,513672;6920,921;384,5133333;18,69939532;6374,928711;18,69939532;-7,889012012;0,000751447;1055;22;5860,513672
Hortikultura;Durian;Lampung;2026;16,73999152;3177,313333;2;0,297046471;53667,79074;47576,49609;47576,49609;15399,458;1552,901111;9,672571357;18097,84961;9,672571357;17,52264014;0,001346501;946;7;47576,49609
Hortikultura;Durian;Maluku;2026;13,36305886;460,5833333;2;0,297046471;7879,923155;5815;5815;35,636;7,231111111;7,223337942;442,4090576;7,223337942;1141,466656;0,000265753;1255;26;5815
Hortikultura;Durian;Maluku Utara;2026;39,88822692;232,7033333;2;0,297046471;8901,668456;7946,166016;7946,166016;105389,3653;998,9701111;120,1062419;111611,1953;120,1062419;5,903660165;0,008128161;464;11;7946,166016
Hortikultura;Durian;Nusa Tenggara Barat;2026;22,21808132;1622,536667;2;0,297046471;33385,74614;35122,32422;35122,32422;4125,899667;44,05171111;103,3142297;5765,531738;103,3142297;39,73998895;0,002571535;786;30;35122,32422
Hortikultura;Durian;Nusa Tenggara Timur;2026;11,51725347;382,6333333;2;0,297046471;4686,940446;3023,611084;3023,611084;13057,61267;1423,203333;9,956239435;14884,78809;9,956239435;13,99318134;0,00115928;986;15;3023,611084
Hortikultura;Durian;Papua;2026;8,204308874;84,65;1;0,297046471;685,0888145;442,4090576;442,4090576;524,9713333;94,88333333;5,500691694;291,8822021;5,500691694;-44,40035415;0,000236256;1272;34;442,4090576
Hortikultura;Durian;Papua Barat;2026;21,82102919;175,7433333;2;0,297046471;4223,856059;2738,119141;2738,119141;31934,83367;331,9036667;98,69989739;24803,31836;98,69989739;-22,33146219;0,003195738;719;19;2738,119141
Hortikultura;Durian;Riau;2026;12,92881077;1960,41;2;0,297046471;25308,41616;28001,68359;28001,68359;45572,988;6900,995556;6,832024669;56248,14844;6,832024669;23,42431538;0,003897121;657;4;28001,68359
Hortikultura;Durian;Sulawesi Barat;2026;18,15246681;1936,186667;2;0,297046471;34018,86575;33259,44922;33259,44922;7795,492;745,8833333;11,24205457;7943,774414;11,24205457;1,902155939;0,000745753;1057;23;33259,44922
Hortikultura;Durian;Sulawesi Selatan;2026;14,16823636;6610,46;4;0,297046471;96289,47564;94872,01563;94872,01563;28,64;0,477333333;156,4260308;847,5982056;156,4260308;2859,490941;0,003822656;660;8;94872,01563
Hortikultura;Durian;Sulawesi Tengah;2026;15,75434178;4392,92;2;0,297046471;68265,00266;68551,78125;68551,78125;120,0466667;2,112;50,58182112;856,4996338;50,58182112;613,4722334;0,00125564;961;27;68551,78125
Hortikultura;Durian;Sulawesi Tenggara;2026;12,05600769;1323,083333;2;0,297046471;17047,34174;15070,46191;15070,46191;2219,687667;152,7977778;149,85;3588,242432;149,85;61,65528536;0,003675076;674;12;15070,46191
Hortikultura;Durian;Sulawesi Utara;2026;13,88923042;1804,66;2;0,297046471;50427,63041;29165,66992;29165,66992;5304,420333;899,7155556;57,66555556;6752,262207;57,66555556;27,29500648;0,001528689;927;31;29165,66992
Hortikultura;Durian;Sumatera Barat;2026;16,84435466;5168,016667;4;0,297046471;159559,3856;111861,0938;111861,0938;16304,05133;1251,488889;127,2977778;16859,60547;127,2977778;3,407460662;0,003368289;702;16;111861,0938
Hortikultura;Durian;Sumatera Selatan;2026;11,16376286;5509,353333;4;0,297046471;72263,43729;62757,57031;62757,57031;156110,4967;7479,946667;211,3377778;191036,9844;211,3377778;22,37292716;0,013186512;350;1;62757,57031
Hortikultura;Durian;Sumatera Utara;2026;17,41013235;6527,903333;4;0,297046471;128351,923;124227,9141;124227,9141;1,666666667;0,055555556;11,11111111;619,7144165;11,11111111;37082,86499;0,000341535;1201;20;124227,9141
Hortikultura;Tomat;Aceh;2026;194,4766667;629,3155556;4;0,397771496;13683,22208;13324,78516;13324,78516;89,76666667;752,6355556;145,4244444;4348,259277;145,4244444;4743,957606;0,003573;679;18;13324,78516
Hortikultura;Tomat;Bali;2026;146,3088889;343,8955556;2;0,397771496;5247,486489;4610,080078;4610,080078;224003,8363;15012,49333;152,8944444;228265,3594;152,8944444;1,902433062;0,016381671;290;3;4610,080078
Hortikultura;Tomat;Banten;2026;56,75444444;120,5355556;2;0,397771496;1227,605988;1540,952026;1540,952026;3641,094333;619,9666667;51,6;2811,586426;51,6;-22,78182963;0,001317938;954;22;1540,952026
Hortikultura;Tomat;Bengkulu;2026;108,7222222;3240,176667;4;0,397771496;39383,07986;42034,36328;42034,36328;28490,81;2718,534444;110,1777778;35084,14063;110,1777778;23,14195569;0,003597312;676;7;42034,36328
Hortikultura;Tomat;Daerah Istimewa Yogyakarta;2026;89,34666667;124,3944444;2;0,397771496;1280,365611;1075,113281;1075,113281;98,13333333;20,74444444;45,65111111;921,1793213;45,65111111;838,701754;0,001137812;994;26;1075,113281
Hortikultura;Tomat;Daerah Khusus Ibukota Jakarta;2026;15,57;0,948888889;2;0,397771496;3,68325;1257,276611;1257,276611;23299,201;3107,098889;7,379715483;24911,42578;7,379715483;6,91965695;0,001903025;872;11;1257,276611
Hortikultura;Tomat;Gorontalo;2026;94,11444444;592,1977778;2;0,397771496;5842,132446;4694,748047;4694,748047;3280,601667;377,3544444;8,151535565;2459,907471;8,151535565;-25,0165756;0,00039863;1172;30;4694,748047
Hortikultura;Tomat;Jambi;2026;412,3377778;1235,397778;4;0,397771496;57127,42702;43730,44531;43730,44531;32504,79;1936,186667;18,15246681;33259,44922;18,15246681;2,321686185;0,002461977;804;15;43730,44531
Hortikultura;Tomat;Jawa Barat;2026;275,9255556;9682,228889;1;0,397771496;268958,845;291430,4375;291430,4375;422,62;84,65;8,204308874;442,4090576;8,204308874;4,682470687;0,000283593;1245;34;291430,4375
Hortikultura;Tomat;Jawa Tengah;2026;194,9933333;5002,018889;4;0,397771496;106168,8315;101560,6563;101560,6563;16,72;1,296956667;13,84939503;460,9784546;13,84939503;2657,048173;0,000393088;1174;19;101560,6563
Hortikultura;Tomat;Jawa Timur;2026;214,5744444;5036,136667;4;0,397771496;107744,2598;138557,3125;138557,3125;169580,74;8984,777778;182,1711111;216918,3906;182,1711111;27,91452061;0,014238461;332;4;138557,3125
Hortikultura;Tomat;Kalimantan Barat;2026;38,03888889;757,8733333;2;0,397771496;3095,560456;2894,749268;2894,749268;0;0;0;46,97108459;0;0;0,000179914;1290;21;2894,749268
Hortikultura;Tomat;Kalimantan Selatan;2026;62,77777778;790,0166667;2;0,397771496;5076,760863;5035,881348;5035,881348;18805,294;1655,717778;114,8511111;24239,91797;114,8511111;28,89943634;0,0032579;711;8;5035,881348
Hortikultura;Tomat;Kalimantan Tengah;2026;84,78333333;345,6444444;2;0,397771496;3047,075544;2530,00415;2530,00415;2089,708667;321,0922222;60,28444444;1778,210693;60,28444444;-14,9062871;0,00150171;929;27;2530,00415
Hortikultura;Tomat;Kalimantan Timur;2026;101,6866667;683,5566667;2;0,397771496;7446,091856;7129,414063;7129,414063;3879,31;212,8888889;180,0066667;4990,888184;180,0066667;28,65401795;0,004414424;626;12;7129,414063
Hortikultura;Tomat;Kalimantan Utara;2026;390,3777778;255,4466667;4;0,397771496;11936,88403;14966,46582;14966,46582;0;0;0;672,9697876;0;0;0,000209287;1281;31;14966,46582
Hortikultura;Tomat;Kepulauan Bangka Belitung;2026;137,7011111;112,5755556;2;0,397771496;2766,636879;1229,659912;1229,659912;17580,973;2833,643333;6,89641347;19935,01563;6,89641347;13,38971754;0,001543249;925;16;1229,659912
Hortikultura;Tomat;Kepulauan Riau;2026;89,30666667;19,20222222;2;0,397771496;214,4055011;1109,081665;1109,081665;83770,71333;9617,314444;10,22262241;106092,9141;10,22262241;26,64678363;0,006944756;509;1;1109,081665
Hortikultura;Tomat;Lampung;2026;132,2066667;1286,471111;2;0,397771496;18837,88348;16999,66016;16999,66016;2993,046667;717,6166667;3,943699607;2138,252197;3,943699607;-28,55934319;0,000361043;1190;20;16999,66016
Hortikultura;Tomat;Maluku;2026;58,32;561,1355556;2;0,397771496;4486,652014;3395,774658;3395,774658;295263,2657;2511,814329;112,0003749;343004,125;112,0003749;16,16891259;0,022120885;215;5;3395,774658
Hortikultura;Tomat;Maluku Utara;2026;102,6355556;842,9166667;2;0,397771496;8472,805932;8287,206055;8287,206055;16799,11767;85,51000444;188,1294566;20016,30664;188,1294566;19,15094017;0,004798768;599;24;8287,206055
Hortikultura;Tomat;Nusa Tenggara Barat;2026;178,6877778;1654,478889;4;0,397771496;38620,83129;31156;31156;20008,63267;2351,89;8,237439697;20588,9668;8,237439697;2,900418734;0,00161052;914;9;31156
Hortikultura;Tomat;Nusa Tenggara Timur;2026;90,06444444;1132,466667;2;0,397771496;10144,6371;9114,574219;9114,574219;2469,891667;165,79;13,70388548;1940,266235;13,70388548;-21,44326565;0,00044864;1147;28;9114,574219
Hortikultura;Tomat;Papua;2026;75,81;358,7655556;2;0,397771496;3194,777931;3094,719727;3094,719727;1095,641333;7,184444444;159,1709972;1740,630981;159,1709972;58,86868526;0,003892442;658;13;3094,719727
Hortikultura;Tomat;Papua Barat;2026;92,41444444;299,6166667;2;0,397771496;3278,456298;3094,719727;3094,719727;1517,400667;20,683;68,38972631;1164,625;68,38972631;-23,24868273;0,001689248;908;32;3094,719727
Hortikultura;Tomat;Riau;2026;44,73222222;55,46777778;2;0,397771496;269,2653222;1502,658325;1502,658325;9685,048;189,2844444;44,71324312;7904,928711;44,71324312;-18,38007709;0,001317854;955;17;1502,658325
Hortikultura;Tomat;Sulawesi Barat;2026;5,246666667;4579,41;2;0,397771496;3835,52312;13213,02148;13213,02148;356595,0823;10541,77083;29,96362496;412356,8125;29,96362496;15,63726841;0,026491248;180;2;13213,02148
Hortikultura;Tomat;Sulawesi Selatan;2026;169,6433333;4676,516667;4;0,397771496;80762,18719;77506,39844;77506,39844;1401,310333;20,22583333;69,99895966;629,1049805;69,99895966;-55,10594866;0,001724659;902;21;77506,39844
Hortikultura;Tomat;Sulawesi Tengah;2026;127,2977778;1251,488889;2;0,397771496;19374,39575;16859,60547;16859,60547;7446,016333;441,9066667;163,3233333;8587,930664;163,3233333;15,33590956;0,004046011;646;6;16859,60547
Hortikultura;Tomat;Sulawesi Tenggara;2026;35,79777778;1188,822222;2;0,397771496;4192,765049;4512,350098;4512,350098;881,5606667;105,6444444;79,29111111;1749,380249;79,29111111;98,44127752;0,001955432;866;25;4512,350098
Hortikultura;Tomat;Sulawesi Utara;2026;205,7133333;2396,226667;4;0,397771496;83181,35766;51574,3125;51574,3125;32176,468;1654,478889;178,6877778;31156;178,6877778;-3,171473016;0,004944831;588;10;51574,3125
Hortikultura;Tomat;Sumatera Barat;2026;241,4533333;3969,752222;4;0,397771496;129651,0259;105676,8438;105676,8438;994,9566667;120,5355556;56,75444444;1540,952026;56,75444444;54,87629542;0,001410826;940;29;105676,8438
Hortikultura;Tomat;Sumatera Selatan;2026;110,5133333;719,9255556;2;0,397771496;13346,1726;8287,206055;8287,206055;1663,696667;163,1111111;115,1744444;1219,908691;115,1744444;-26,67481303;0,002823656;753;14;8287,206055
Hortikultura;Tomat;Sumatera Utara;2026;324,7622222;6368,233333;1;0,397771496;243793,7608;220147,25;220147,25;0,183333333;0,444444444;2,444444444;-487,1121826;2,444444444;-265797,5542;0,00016601;1296;25;220147,25
Pangan;Jagung;Aceh;2026;54,54570548;10091,45667;1;0,347970864;47163,47718;51274,29688;51274,29688;65925;14515,55556;7134,555556;66963,14063;7134,555556;1,574729807;0,152312385;31;1;51274,29688
Pangan;Jagung;Bali;2026;50,82406912;8142,26;1;0,347970864;39280,6346;37913,75391;37913,75391;417;396,8888889;1873,555556;2318,054932;1873,555556;455,8884728;0,044217668;101;8;37913,75391
Pangan;Jagung;Banten;2026;63,41042601;2225,423333;1;0,347970864;19524,62146;14631,56836;14631,56836;919,3333333;1422,666667;903,3333333;830,019165;903,3333333;-9,7151017;0,021731436;219;15;14631,56836
