subsektor;komoditas;provinsi;tahun;kluster;silhouette_score_komoditas;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;produktivitas;luas_panen;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;pertumbuhan_produksi_2026;prediksi_produktivitas_2026
Hortikultura;Alpukat;Nusa Tenggara Barat;2026;3;0,592859359;199,1723333;479,3888889;169,7666667;35974,29688;169,7666667;17961,89458;0,005129342;721;13;169,7666667;479,3888889;18752,08902;35974,29688;35974,29688;17961,89458;169,7666667
Hortikultura;Alpukat;Nusa Tenggara Timur;2026;2;0,592859359;3836,619667;1303,987778;268,9711111;13290,83008;268,9711111;246,4203187;0,007448642;576;7;268,9711111;1303,987778;13237,74652;13290,83008;13290,83008;246,4203187;268,9711111
Hortikultura;Alpukat;Papua;2026;3;0,592859359;1697,232333;56,10444444;136,2355556;302,2788391;136,2355556;-82,18989627;0,004035588;812;18;136,2355556;56,10444444;1162,070898;302,2788391;302,2788391;-82,18989627;136,2355556
Hortikultura;Alpukat;Papua Barat;2026;3;0,592859359;558,4543333;61,11888889;153,7177778;-1976,019287;153,7177778;-453,8372198;0,004445784;769;16;153,7177778;61,11888889;1015,93438;-1976,019287;1976,019287;-453,8372198;153,7177778
Hortikultura;Alpukat;Riau;2026;3;0,592859359;7775,394333;320,4544444;127,0044444;7106,227051;127,0044444;-8,606216661;0,003891722;829;21;127,0044444;320,4544444;4502,002342;7106,227051;7106,227051;-8,606216661;127,0044444
Hortikultura;Alpukat;Sulawesi Barat;2026;1;0,592859359;6379,004667;276,1466667;95,70333333;-5616,511719;95,70333333;-188,0468351;0,003060512;928;30;95,70333333;276,1466667;3318,776883;-5616,511719;5616,511719;-188,0468351;95,70333333
Hortikultura;Alpukat;Sulawesi Selatan;2026;1;0,592859359;852,038;516,0888889;96,84;14632,04883;96,84;1617,30003;0,003265361;903;27;96,84;516,0888889;8887,544451;14632,04883;14632,04883;1617,30003;96,84
Hortikultura;Alpukat;Sulawesi Tengah;2026;2;0,592859359;5563,783;705,0877778;90,82;-1193,696289;90,82;-121,45476;0,002990688;942;32;90,82;705,0877778;6448,594213;-1193,696289;1193,696289;-121,45476;90,82
Hortikultura;Alpukat;Sulawesi Tenggara;2026;2;0,592859359;107111,4317;1575,443333;130,1444444;-12942,57324;130,1444444;-112,0832791;0,006951868;603;10;130,1444444;1575,443333;55722,4442;-12942,57324;12942,57324;-112,0832791;130,1444444
Hortikultura;Alpukat;Sulawesi Utara;2026;3;0,592859359;40369,572;1167,98;110,1188889;-5288,655762;110,1188889;-113,100599;0,004032574;814;19;110,1188889;1167,98;24050,30656;-5288,655762;5288,655762;-113,100599;110,1188889
Hortikultura;Alpukat;Sumatera Barat;2026;2;0,592859359;47356,74933;3648,94;236,2644444;18782,40625;236,2644444;-60,33848076;0,007167874;589;8;236,2644444;3648,94;76843,98216;18782,40625;18782,40625;-60,33848076;236,2644444
Hortikultura;Alpukat;Sumatera Selatan;2026;1;0,592859359;0;1382,453333;91,49666667;19217,81055;91,49666667;0;0,00321938;911;28;91,49666667;1382,453333;20321,99369;19217,81055;19217,81055;0;91,49666667
Hortikultura;Alpukat;Sumatera Utara;2026;3;0,592859359;0;1252,58;162,0766667;43257,17578;162,0766667;0;0,005026989;727;14;162,0766667;1252,58;23793,32486;43257,17578;43257,17578;0;162,0766667
Perkebunan;Aren;Aceh;2026;1;0,326568799;12309,11733;2077,222222;635,4444444;19985,98828;635,4444444;62,36735535;0,016988092;357;20;91,59111111;1422,857778;4992,117413;2487,492676;2487,492676;470,8750021;91,59111111
Perkebunan;Aren;Bali;2026;1;0,326568799;33988,564;658,3333333;132,7777778;4545,114258;132,7777778;-86,62751902;0,004394143;773;27;292,0122222;1195,626667;20706,4179;5282,471191;5282,471191;-6,193330493;292,0122222
Perkebunan;Aren;Banten;2026;3;0,326568799;1104,369333;3351,111111;1956;22105,00781;1956;1901,595584;0,050484118;132;7;60,10333333;172,2022222;2058,959456;802,3323364;802,3323364;717,5940928;60,10333333
Perkebunan;Aren;Bengkulu;2026;1;0,326568799;805,365;2684,444444;2698,222222;22105,00781;2698,222222;2644,719203;0,068520809;105;3;63,96111111;121,2977778;9210,474229;-4013,843506;4013,843506;-113,4492019;63,96111111
Perkebunan;Aren;Daerah Istimewa Yogyakarta;2026;3;0,326568799;29523,656;59,11111111;1372,666667;25564,77539;1372,666667;-13,40918147;0,035939208;179;12;110,0266667;2892,897778;2658,592268;3146,785889;3146,785889;1072,846364;110,0266667
Perkebunan;Aren;Daerah Khusus Ibukota Jakarta;2026;1;0,326568799;4,861666667;0;0;-684,8219604;0;-14186,1562;0,001714625;1429;33;35,51777778;1,563333333;78,33091889;-3566,766113;3566,766113;0;35,51777778
Perkebunan;Aren;Gorontalo;2026;1;0,326568799;283,5166667;845,2222222;828,2222222;13415,37891;828,2222222;4631,777875;0,021940226;288;17;62,65111111;40,1;862,9387822;454,9728088;454,9728088;2197,842469;62,65111111
Perkebunan;Aren;Jambi;2026;1;0,326568799;15579,71833;250,1111111;769,5555556;29100,58398;769,5555556;86,78504554;0,020477609;305;18;81,94666667;1872,966667;3230,444697;3986,75293;3986,75293;-34,4179788;81,94666667
