subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;prediksi_produktivitas_2026
Perkebunan;Aren;Nusa Tenggara Barat;2026;602,2222222;1192;4;0,326927589;404,1471778;-16,77776337;16,77776337;0;0;0;-514,9988403;0;0;0,000153554;1312;16;602,2222222
Perkebunan;Cengkeh;Nusa Tenggara Barat;2026;185,3333333;2843,777778;1;0,305949423;207,4676556;1144,724854;1144,724854;0;0;0;-514,9988403;0;0;0,000153554;1312;16;185,3333333
Perkebunan;Jambu Mete;Nusa Tenggara Barat;2026;376,3333333;37399,55556;3;0,349646015;10540,31327;8678,826172;8678,826172;0;0;0;-514,9988403;0;0;0,000153554;1312;16;376,3333333
Perkebunan;Kakao;Nusa Tenggara Barat;2026;526;7584,333333;3;0,292315492;2589,663333;2422,527344;2422,527344;0;0;0;-514,9988403;0;0;0,000153554;1312;16;526
Perkebunan;Kapuk;Nusa Tenggara Barat;2026;208,7777778;1430,111111;1;0,825865712;197,1670883;640,8621216;640,8621216;0;0;0;-514,9988403;0;0;0,000153554;1312;16;208,7777778
Perkebunan;Karet;Nusa Tenggara Barat;2026;0;0;2;0,429076057;0;-448,2593994;448,2593994;0;0;0;-514,9988403;0;0;0,000153554;1312;16;0
Perkebunan;Kayu Manis;Nusa Tenggara Barat;2026;0;0;3;0,507886572;0;-448,2593994;448,2593994;0;0;0;-514,9988403;0;0;0,000153554;1312;16;0
Perkebunan;Kelapa;Nusa Tenggara Barat;2026;1072,26;57885,61;1;0,299446572;49185,36069;49034,875;49034,875;0;0;0;-514,9988403;0;0;0,000153554;1312;16;1072,26
Perkebunan;Kelapa Sawit;Nusa Tenggara Barat;2026;0;0;2;0,369209793;0;-51,19233322;51,19233322;0;0;0;-514,9988403;0;0;0,000153554;1312;16;0
Perkebunan;Kemiri;Nusa Tenggara Barat;2026;859,4444444;2753;3;0,379593335;1236,532891;1162,952759;1162,952759;4587516;752228,9633;61,9455265;4734791;61,9455265;3,210343027;0,342091253;12;1;859,4444444
Perkebunan;Kopi Arabica;Nusa Tenggara Barat;2026;900,6666667;2492;4;0,405448294;916,8157367;1239,753662;1239,753662;2750971;412582,59;59,33053744;2410449,25;59,33053744;-12,37823845;0,194131011;20;2;900,6666667
Perkebunan;Kopi Robusta;Nusa Tenggara Barat;2026;650,2222222;11542,44444;1;0,332957999;5613,125904;4206,429199;4206,429199;1279169;208433,7867;63,90102037;1334833,25;63,90102037;4,351594668;0,098661795;46;3;650,2222222
Perkebunan;Lada;Nusa Tenggara Barat;2026;136,1111111;35,22222222;3;0,34142663;4,665288889;-1344,215332;1344,215332;1295646;192845,2833;59,54202752;1196816;59,54202752;-7,627855139;0,093960884;49;4;136,1111111
Perkebunan;Pala;Nusa Tenggara Barat;2026;0;0;2;0,376517578;0;-448,2593994;448,2593994;1259482;176906,7733;65,43760462;1243259;65,43760462;-1,288069222;0,092698482;51;5;0
Perkebunan;Panili;Nusa Tenggara Barat;2026;326,7777778;297,8888889;3;0,337091575;43,18178778;-787,4728394;787,4728394;1175152;175292,6667;69,68935259;1224617,125;69,68935259;4,209253356;0,089268978;53;6;326,7777778
Perkebunan;Sagu;Nusa Tenggara Barat;2026;0;0;1;0,423813304;0;-448,2593994;448,2593994;794815;87853,79667;73,5155678;715925,1875;73,5155678;-9,925556576;0,055043485;81;7;0
Perkebunan;Tebu;Nusa Tenggara Barat;2026;5841,444444;3840,111111;3;0,523048354;16414,3561;19622,96484;19622,96484;653286;124368,32;48,3436174;640621,5625;48,3436174;-1,938574759;0,051169765;86;8;5841,444444
Perkebunan;Teh;Nusa Tenggara Barat;2026;0;0;1;0,885351589;0;-448,2593994;448,2593994;550410;83109,25667;62,70816148;557523,125;62,70816148;1,29233208;0,041688907;108;9;0
Pangan;Ubi Jalar;Nusa Tenggara Barat;2026;168,438847;610;2;0,40965744;11431,0633;8780,348633;8780,348633;19;110,8888889;194,2222222;-914,1495361;194,2222222;-4911,313348;0,004737069;603;18;168,438847
Perkebunan;Aren;Nusa Tenggara Timur;2026;166,2222222;181,7777778;4;0,326927589;34,06428974;-621,3949585;621,3949585;401175;53285,64;63,89452378;393821,7813;63,89452378;-1,832920484;0,029524963;156;11;166,2222222
Perkebunan;Cengkeh;Nusa Tenggara Timur;2026;425,4444444;19445,44444;1;0,305949423;4049,896791;4228,994629;4228,994629;210518;39710,12667;51,81251167;212136,7344;51,81251167;0,768929201;0,016760019;280;12;425,4444444
Perkebunan;Jambu Mete;Nusa Tenggara Timur;2026;593;159546,2222;1;0,349646015;50471,75796;59933,31641;59933,31641;181842;22956,38;47,78108809;130867,7656;47,78108809;-28,03215669;0,012110676;374;13;593
Perkebunan;Kakao;Nusa Tenggara Timur;2026;705,8888889;61095,11111;3;0,292315492;21185,53207;23561,31445;23561,31445;159093;21030,94;60,21507309;140152,2031;60,21507309;-11,90548728;0,011404289;391;14;705,8888889
Perkebunan;Kapuk;Nusa Tenggara Timur;2026;281,5555556;12013,66667;1;0,825865712;1857,503593;2445,585449;2445,585449;108365;27241,06667;37,15923741;102716,5625;37,15923741;-5,212418678;0,009265289;434;15;281,5555556
Perkebunan;Karet;Nusa Tenggara Timur;2026;0;0;2;0,429076057;0;-448,2593994;448,2593994;82890;18402,89333;43,56907235;76930,38281;43,56907235;-7,189790309;0,006836473;515;16;0
Perkebunan;Kayu Manis;Nusa Tenggara Timur;2026;360,6666667;18;3;0,507886572;3,788844444;-875,0471802;875,0471802;54804;17911,53;37,85828298;62369,76953;37,85828298;13,80514111;0,005583892;565;17;360,6666667
Perkebunan;Kelapa;Nusa Tenggara Timur;2026;772,8477778;126571,2833;1;0,299446572;63248,48617;65056,28125;65056,28125;66704;9402,616667;63,81349808;64667,84375;63,81349808;-3,052524961;0,005260418;577;18;772,8477778
Perkebunan;Kelapa Sawit;Nusa Tenggara Timur;2026;0;0;2;0,369209793;0;-51,19233322;51,19233322;46745;10091,45667;54,54570548;51274,29688;54,54570548;9,689371858;0,004261514;632;19;0
Perkebunan;Kemiri;Nusa Tenggara Timur;2026;582,3333333;80095,44444;1;0,379593335;27270,15905;28051,14063;28051,14063;43874;8148,196667;46,39470769;46668,51563;46,39470769;6,369411554;0,003807206;663;20;582,3333333
Perkebunan;Kopi Arabica;Nusa Tenggara Timur;2026;683,8888889;20010,55556;4;0,405448294;8782,066232;8514,712891;8514,712891;38139;8142,26;50,82406912;37913,75391;50,82406912;-0,590592553;0,003431259;694;21;683,8888889
Perkebunan;Kopi Robusta;Nusa Tenggara Timur;2026;513;54834,77778;1;0,332957999;16620,23565;18503,44141;18503,44141;23811;5454,363333;50,83885543;28523,74805;50,83885543;19,79231467;0,002549212;793;22;513
Perkebunan;Lada;Nusa Tenggara Timur;2026;480,7777778;750,2222222;1;0,34142663;222,5688889;-491,3642273;491,3642273;26738;2267,82;63,11040367;18091,71289;63,11040367;-32,33707498;0,002337441;818;23;480,7777778
Perkebunan;Pala;Nusa Tenggara Timur;2026;0,325555556;5368,444444;2;0,376517578;993,3964624;296,4674988;296,4674988;14646;2225,423333;63,41042601;14631,56836;63,41042601;-0,098536396;0,001974425;865;24;0,325555556
Perkebunan;Panili;Nusa Tenggara Timur;2026;376;3200,666667;4;0,337091575;601,5457889;473,6359253;473,6359253;10292;1631,543333;50,6582943;8644,708984;50,6582943;-16,00554815;0,001500939;930;25;376
Perkebunan;Sagu;Nusa Tenggara Timur;2026;0;0;1;0,423813304;0;-448,2593994;448,2593994;5061;477,4833333;49,57031942;2071,069824;49,57031942;-59,0778537;0,001272432;959;26;0
Perkebunan;Tebu;Nusa Tenggara Timur;2026;4108,555556;2904,666667;3;0,523048354;6133,35567;9675,429688;9675,429688;24;3,356666667;49,43639291;-143,5839539;49,43639291;-698,2664744;0,001220621;972;27;4108,555556
Perkebunan;Teh;Nusa Tenggara Timur;2026;0;0;1;0,885351589;0;-448,2593994;448,2593994;1304;590,3333333;46,71794689;932,5543213;46,71794689;-28,48509806;0,001171489;984;28;0
Pangan;Ubi Jalar;Nusa Tenggara Timur;2026;67,10591997;4527,333333;2;0,40965744;26938,47319;32208,54883;32208,54883;0;0;0;-448,2593994;0;0;0,000156684;1302;25;67,10591997
Perkebunan;Aren;Papua;2026;0;0;4;0,326927589;0;-514,9988403;514,9988403;4134;1363,843333;37,52880511;3871,447021;37,52880511;-6,351063825;0,001044355;1012;30;0
Perkebunan;Cengkeh;Papua;2026;280,3333333;191;1;0,305949423;28,83967205;-932,1795654;932,1795654;4310;513,7833333;36,62278308;791,7526855;36,62278308;-81,62986808;0,000952036;1027;31;280,3333333
Perkebunan;Jambu Mete;Papua;2026;232,5555556;341,6666667;2;0,349646015;304,9482913;-787,4728394;787,4728394;2415;757,3333333;27,49839245;964,8259277;27,49839245;-60,04861583;0,000735026;1059;32;232,5555556
Perkebunan;Kakao;Papua;2026;657,7777778;30050;3;0,292315492;8731,058239;8311,800781;8311,800781;3302;377,0833333;25,84731183;747,8077393;25,84731183;-77,35288494;0,000691759;1067;33;657,7777778
Perkebunan;Kapuk;Papua;2026;245;197;1;0,825865712;42,04285555;-877,7391357;877,7391357;0;0;0;27,72760391;0;0;0,000179011;1292;34;245
Perkebunan;Karet;Papua;2026;76,77777778;969,8888889;2;0,429076057;1502,588791;-1513,267456;1513,267456;28219;62362;8,51534515;49148,80469;8,51534515;74,16919341;0,012855994;355;1;76,77777778
Perkebunan;Kayu Manis;Papua;2026;0;0;3;0,507886572;0;-448,2593994;448,2593994;43531;34576;11,7632185;45251,49219;11,7632185;3,952337845;0,007658798;481;2;0
Perkebunan;Kelapa;Papua;2026;920,1111111;17355,22222;1;0,299446572;12460,13565;11290,29297;11290,29297;5407;9255,666667;7,042712832;12663,47559;7,042712832;134,2052078;0,002043518;855;3;920,1111111
Perkebunan;Kelapa Sawit;Papua;2026;6981,777778;96068,55556;4;0,369209793;531153,354;467857,6563;467857,6563;10506;8551,333333;12,66742733;10484,32129;12,66742733;-0,206346002;0,001947632;867;4;6981,777778
Perkebunan;Kemiri;Papua;2026;0;0;2;0,379593335;0;-448,2593994;448,2593994;2185;3434,666667;11,15364325;4131,173828;11,15364325;89,06974042;0,000838757;1042;5;0
Perkebunan;Kopi Arabica;Papua;2026;57;1542,222222;3;0,405448294;1197,00255;7147,443359;7147,443359;1062;3061,333333;9,631839877;4855,71875;9,631839877;357,2239878;0,000776729;1049;6;57
Perkebunan;Kopi Robusta;Papua;2026;514,8888889;255,8888889;1;0,332957999;142,8999133;-748,3870239;748,3870239;456;1109,666667;9,248535454;2289,734375;9,248535454;402,1347314;0,000427831;1156;7;514,8888889
Perkebunan;Lada;Papua;2026;103,4444444;22,44444444;3;0,34142663;1,658866667;-699,5379028;699,5379028;135;150,6666667;11,99666667;244,0403442;11,99666667;80,77062536;0,000350549;1195;8;103,4444444
Perkebunan;Pala;Papua;2026;0;28,88888889;2;0,376517578;0,288644444;-452,0211792;452,0211792;4;4,333333333;12,30333333;32,10050201;12,30333333;702,5125504;0,000350299;1196;9;0
Perkebunan;Panili;Papua;2026;139,7777778;204,6666667;3;0,337091575;20,46827889;-1116,115967;1116,115967;3;8,666666667;11,1;240,2785797;11,1;7909,28599;0,000330842;1207;10;139,7777778
Perkebunan;Sagu;Papua;2026;1461,666667;15319,11111;1;0,423813304;34280,05973;21120,2168;21120,2168;27;63,66666667;11,03372549;240,2785797;11,03372549;789,9206656;0,000329763;1208;11;1461,666667
Perkebunan;Tebu;Papua;2026;0;0;4;0,523048354;0;-514,9988403;514,9988403;16;10,66666667;11,49952381;-391,816803;11,49952381;-2548,855019;0,000323318;1213;12;0
Perkebunan;Teh;Papua;2026;0;0;1;0,885351589;0;-448,2593994;448,2593994;2;128,6666667;10,88;32,10050201;10,88;1505,025101;0,00032193;1214;13;0
Pangan;Ubi Jalar;Papua;2026;50,42458988;224,3333333;2;0,40965744;1767,080129;-244,6162415;244,6162415;0;3;0;-452,0211792;0;0;0,000156509;1305;26;50,42458988
Perkebunan;Aren;Papua Barat;2026;0;0;4;0,326927589;0;-514,9988403;514,9988403;24;33;10,14358974;-35,28534698;10,14358974;-247,0222791;0,00030434;1226;15;0
Perkebunan;Cengkeh;Papua Barat;2026;249,4444444;79,33333333;1;0,305949423;22,08525669;-1019,753906;1019,753906;60;85,66666667;9,995806452;-35,28534698;9,995806452;-158,8089116;0,000301835;1229;16;249,4444444
Perkebunan;Jambu Mete;Papua Barat;2026;0;0;2;0,349646015;0;-448,2593994;448,2593994;140;177,6666667;9,969659367;-226,9160156;9,969659367;-262,0828683;0,000297882;1232;17;0
Perkebunan;Kakao;Papua Barat;2026;230,7777778;6794,333333;3;0,292315492;775,568662;1113,82373;1113,82373;182;310;9,53037037;-226,9160156;9,53037037;-224,6791295;0,000293706;1234;18;230,7777778
Perkebunan;Kapuk;Papua Barat;2026;0;0;1;0,825865712;4,174166667;-453,554718;453,554718;142;328;9,158072289;-13,5217495;9,158072289;-109,5223588;0,000293219;1236;19;0
Perkebunan;Karet;Papua Barat;2026;0;0;2;0,429076057;0;-448,2593994;448,2593994;49;61;9,508830409;-22,49968719;9,508830409;-145,917729;0,000292372;1237;20;0
Perkebunan;Kayu Manis;Papua Barat;2026;0;0;3;0,507886572;0;-448,2593994;448,2593994;56;53;9,763076923;-310,4491577;9,763076923;-654,3734959;0,000289463;1241;21;0
Perkebunan;Kelapa;Papua Barat;2026;642,5555556;7307,666667;3;0,299446572;4597,69294;3766,628662;3766,628662;134;277,6666667;9,49;-306,6873779;9,49;-328,8711776;0,000289408;1242;22;642,5555556
Perkebunan;Kelapa Sawit;Papua Barat;2026;1993,444444;63889,66667;4;0,369209793;80636,627;65238,78125;65238,78125;325;365;9,074547152;-279,9416809;9,074547152;-186,1359018;0,000286453;1244;23;1993,444444
Perkebunan;Kemiri;Papua Barat;2026;0;0;2;0,379593335;0;-448,2593994;448,2593994;546;461,3333333;8,512015504;-249,519043;8,512015504;-145,6994584;0,000283423;1246;24;0
Perkebunan;Kopi Arabica;Papua Barat;2026;218,7777778;73,77777778;3;0,405448294;2,976644444;-1110,884766;1110,884766;97;167,6666667;9,709319728;-994,4277954;9,709319728;-1125,183294;0,000273444;1251;25;218,7777778
Perkebunan;Kopi Robusta;Papua Barat;2026;94,33333333;227,5555556;1;0,332957999;13,17217889;-619,0130615;619,0130615;131;269,6666667;8,633613054;-279,9416809;8,633613054;-313,6959396;0,000273312;1252;26;94,33333333
Perkebunan;Lada;Papua Barat;2026;0,555555556;4,444444444;3;0,34142663;1,663607778;-1441,488892;1441,488892;178;246;8,239232915;-352,789917;8,239232915;-298,1965826;0,000262955;1256;27;0,555555556
Perkebunan;Pala;Papua Barat;2026;0,144444444;31305,11111;1;0,376517578;4077,6361;1999,285767;1999,285767;224;347;7,028913525;-352,789917;7,028913525;-257,4954987;0,000246098;1268;28;0,144444444
Perkebunan;Panili;Papua Barat;2026;0;0,222222222;3;0,337091575;0,047812222;-452,0211792;452,0211792;143;217;7,522386831;-466,0048218;7,522386831;-425,8774977;0,000245206;1269;29;0
Perkebunan;Sagu;Papua Barat;2026;405,6666667;1167,111111;1;0,423813304;1044,071939;-202,7268372;202,7268372;39;34;4,31942029;-552,9154663;4,31942029;-1517,731965;0,000185082;1288;30;405,6666667
Perkebunan;Tebu;Papua Barat;2026;0;0;4;0,523048354;0;-514,9988403;514,9988403;0;0;5,556666667;-1188,645508;5,556666667;0;0,000182647;1289;31;0
Perkebunan;Teh;Papua Barat;2026;0;0;1;0,885351589;0,04;-448,2593994;448,2593994;0;0;0;-358,8416748;0;0;0,000160878;1297;32;0
